Asset Type,Asset,Engaged People,Engaged Accounts,BDR Booked Meeting (MQL),High Value Inquiry,Qualified Inquiry,SAL $,SALQ $,Closed Won $
p_a8e5fab6b1,p_e342791f70,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_657d8a2228,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_92401f1b77,2,0,0,0,0,0,0,0
p_18df50f95b,p_d775d94ffc,1245,1032,1.8,0.16,77.07,98064.63,97862.72,40287.13
p_fa15783640,p_61c9a24c8e,1,1,0,0,0,15.69,15.54,0
p_fa15783640,p_fb801332ef,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_b7b5981e8d,1,1,0,0,0,0,0,0
p_35d5f6446d,p_abe6731b1e,2,1,0,0,0,0,0.01,0.02
p_35d5f6446d,p_e40ac3943d,9,7,0,0,0,714.16,710.91,72.11
p_9ee8c7bb3f,p_105c6b9726,1,1,0,0,0,0,0,0
p_fa15783640,p_2d1e5818c5,17199,6037,1.63,59.85,60.91,1046951.74,1076488.62,72947.22
p_fa15783640,p_8b080b613a,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_1bb52cf3b6,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_aa8c22dfb7,2,0,0,0,0,0,0,0
p_fa15783640,p_68fbca5294,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_3fda1843d5,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_c61500f277,1,0,0,0,0,0,0,0
p_18df50f95b,p_eec24e668e,1,1,0,0,0,0,0,0
p_fa15783640,p_aa66fa118d,5,2,0,0,0,0.13,0.13,0
p_463a8a7b6f,p_8ceb4ac1c3,1,0,0,0,0,0,0,0
p_fa15783640,p_b68bdb9a60,1,1,0,0,0.07,1040.09,953.45,0.06
p_54a6a1c242,p_23561d9c8a,6,2,0,0,0,0.47,0.47,0
p_463a8a7b6f,p_6e4f565289,2,1,0,0,0.01,0,0.02,0.03
p_5ea52c2bb2,p_42ab3d071d,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_97645c6635,1,0,0,0,0,0,0,0
p_eacc5274cf,p_a39030e853,239,145,0,0.06,0.29,32060.9,31731.09,13669.17
p_a8e5fab6b1,p_39ab67b5f5,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_a47c880670,126,64,0,0,0,539.97,813.8,0.01
p_a8e5fab6b1,p_b6bb75a37d,2,0,0,0,0,0,0,0
p_35d5f6446d,p_c6e3f0142a,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_14ad3f447f,1,1,0,0,0,0,0,0
p_463a8a7b6f,p_565ae1b56b,2,1,0,0,0,0,0,0
p_18df50f95b,p_79ff6030d9,55,23,0,0.08,0.16,0,105.16,0
p_35d5f6446d,p_93c409cbd1,1,0,0,0,0,0,0,0
p_35d5f6446d,p_4d05a786bf,1,0,0,0,0,0,0,0
p_fa15783640,p_e05fa1fc01,33,23,0,0,0.23,1701.77,1689.72,848.7
p_18df50f95b,p_e2a3703dd8,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_a843f584d8,1,0,0,0,0,0,0,0
p_54a6a1c242,p_191e10ce30,1,0,0,0,0,0,0,0
p_fa15783640,p_9cc2b1a546,2,1,0,0,0,0,0,22.66
p_fa15783640,p_82e2c72da7,11,9,0,0.6,1.57,3027.78,2614.52,0.03
p_892bde13bc,p_754422e2a1,11,6,0,0,0,96.17,96.17,382.62
p_9ee8c7bb3f,p_33f1f855a6,2,1,0,0,0,0,0,0
p_9ee8c7bb3f,p_57ed840f96,1,0,0,0,0,0,0,0
p_fedadf1682,p_df7aca2bf6,1,0,0,0,0,0,0,0
p_fa15783640,p_7d49047488,1,0,0,0,0,0,0,0
p_18df50f95b,p_f93d40fb7e,14,11,0,0.13,0.44,121549.34,121549.51,4026.03
p_5ea52c2bb2,p_412c61c1d6,1,1,0,0,0,0,0,0
p_9ee8c7bb3f,p_ca76c6faab,1,1,0,0,0,0,9.9,0
